Position,Track Name,Artist,Streams,URL,Year,Month,Track ID
1,IL CIELO NELLA STANZA (feat. NSTASIA),Salmo,2885889,https://open.spotify.com/track/2fkVZYFv9hOejIsLzZy8ad,2018,12,2fkVZYFv9hOejIsLzZy8ad
2,Happy Birthday,Sfera Ebbasta,2182720,https://open.spotify.com/track/7Cw97917dvg5xm6XMAA4Y2,2018,12,2bnTgPFD75vbq1AhxLJfMu
3,Torna a casa,Måneskin,1857579,https://open.spotify.com/track/3590AAEoqH50z4UmhMIY85,2018,12,3590AAEoqH50z4UmhMIY85
4,La fine del mondo,Anastasio,1836968,https://open.spotify.com/track/3FhWEh7VTAOYK4edZqNWNB,2018,12,3c5ZPBOMDO1HLHRrQEwpNW
5,All I Want for Christmas Is You,Mariah Carey,1599867,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,2018,12,0bYg9bo50gSsH3LtXe2SQn
6,Senza Di Me (feat. Venerus & Franco126),Gemitaiz,1572541,https://open.spotify.com/track/3xGD5KhnizETt7KQwxtUAc,2018,12,3xGD5KhnizETt7KQwxtUAc
7,90MIN,Salmo,1472280,https://open.spotify.com/track/3Ls9yKzshQye18Tx2AvOb6,2018,12,3Ls9yKzshQye18Tx2AvOb6
8,CABRIOLET (feat. Sfera Ebbasta),Salmo,1357085,https://open.spotify.com/track/7wC76LWyNxaP3hjGzbWOcN,2018,12,7wC76LWyNxaP3hjGzbWOcN
9,Last Christmas,Wham!,1301850,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,2018,12,2FRnf9qhLbvw8fu4IBXx78
10,oh 9od,tha Supreme,1284435,https://open.spotify.com/track/0UuqwLM3UFmwcXSJgfFHvr,2018,12,5Qy9jtZdxUnFXmgPp3u5VZ
11,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,1284365,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2018,12,4w8niZpiMy6qz1mntFA5uM
12,Cambiare Adesso,Dark Polo Gang,1258835,https://open.spotify.com/track/01MJgnPL3AuwmYQ4EbHzD7,2018,12,2xjxaKiYssIdDU6DCPpZPt
13,STAI ZITTO (feat. Fabri Fibra),Salmo,1228514,https://open.spotify.com/track/2rgOAX5Cj3pk8JFnaPwJbd,2018,12,2rgOAX5Cj3pk8JFnaPwJbd
14,Cascare nei tuoi occhi,Ultimo,1154771,https://open.spotify.com/track/60oJSn5MTG2VNvCJKwd65M,2018,12,60oJSn5MTG2VNvCJKwd65M
15,Los Angeles,Luna,1086530,https://open.spotify.com/track/44oZqBLSPMKbxB0bOuUrEN,2018,12,4loXMor75kKVBB03ygwDlh
16,Fuoco e benzina,Emis Killa,1030050,https://open.spotify.com/track/4Fs1sEg9Mwn6vykFD89xvc,2018,12,4Fs1sEg9Mwn6vykFD89xvc
